States/UTs,Total Killed 2014 to 2017,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2014 to 2017,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2014 to 2017,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2014 to 2017","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2014 to 2017",Total Injured 2014 to 2017,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2014 to 2017,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2014 to 2017,"Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2014 to 2017","Total Number of Persons Injured in Road Accidents per 10,000 Km of Roads - 2014 to 2017"
Andhra Pradesh,32806,5.625,9.35,10.53333333,465.7666667,116896,5.975,33.225,38.13333333,1682.8
Arunachal Pradesh,505,0.1,9.675,7.3,49.06666667,1374,0.1,26.3,19.63333333,131.6333333
Assam,10274,1.75,7.975,10.03333333,77.3,25857,1.3,20.05,26.4,203.2
Bihar,20789,3.575,5.025,10.66666667,244.9,25140,1.275,6.075,13.5,307.3666667
Chhattisgarh,16148,2.775,15.7,9.333333333,417.2333333,52088,2.675,50.65,30.66666667,1373.266667
Goa,1265,0.2,16.05,2.9,213.5,7882,0.4,100.2,18.36666667,1360.933333
Gujarat,31499,5.4,12.65,4.333333333,447.9666667,80692,4.125,32.35,11.5,1182.133333
Haryana,19506,3.325,17.875,6.066666667,1046.9,40608,2.075,37.2,12.73333333,2199.833333
Himachal Pradesh,4769,0.825,16.875,11.1,215.1666667,21900,1.125,77.475,51.2,992.5666667
Jammu & Kashmir,3793,0.625,7.7,7.733333333,227,31296,1.6,63.375,64.23333333,1895.5
Jharkhand,11804,2.025,8.825,13.83333333,589.2,16105,0.825,12.075,20.03333333,856.4333333
Karnataka,43050,7.375,17.35,7.3,331.0666667,221319,11.275,89.175,38.2,1721.3
Kerala,16663,2.85,11.7,4.366666667,212.7,171610,8.75,120.625,45.16666667,2188.433333
Madhya Pradesh,37706,6.45,12.175,8.633333333,320.3666667,226555,11.575,73.275,52.96666667,1968.033333
Maharashtra,51214,8.775,10.725,5.1,212.8333333,148073,7.55,31.05,15.23333333,633.6333333
Manipur,524,0.1,5.075,3.8,55.86666667,4478,0.225,43.5,34.36666667,492.9
Meghalaya,656,0.1,5.95,5.1,104.0666667,1338,0.1,12.125,10.23333333,212
Mizoram,305,0.025,7.25,5.466666667,88.2,460,0,10.95,9.3,142.4666667
Nagaland,198,0.025,2.1,1.533333333,14.3,799,0.025,8.4,4.2,38.63333333
Odisha,17487,2.975,10.325,8.1,148.4666667,45422,2.325,26.85,21.9,400.3333333
Punjab,19054,3.25,16.45,6.933333333,458.8333333,17110,0.875,14.75,6.133333333,405.5333333
Rajasthan,41708,7.15,14.375,8.466666667,420.5333333,99780,5.1,34.475,21.16666667,1046.6
Sikkim,292,0.05,11.3,16.13333333,95.83333333,1431,0.1,55.575,73.53333333,436.9666667
Tamil Nadu,64207,10.975,23.2,7.1,618.7333333,314205,16.025,113.5,35.53333333,3086.466667
Telangana,27831,4.775,,9.066666667,680.7666667,92791,4.75,,29.23333333,2198.366667
Tripura,680,0.1,4.475,6.1,43.7,3824,0.2,25.2,36.96666667,261.4666667
Uttarakhand,3695,0.6,8.75,5.166666667,149.3333333,6554,0.325,15.525,9.2,266.9666667
Uttar Pradesh,73397,12.55,8.475,8.266666667,430.9,98132,5,11.325,10.96666667,571.6666667
West Bengal,24422,4.175,6.55,9.066666667,201.5,45762,2.325,12.3,17.33333333,385.2666667
Andaman & Nicobar Islands,84,0,3.825,2.066666667,152.8333333,1200,0.1,54.85,30.56666667,2253.033333
Chandigarh,518,0.1,7.425,1.933333333,476.6,1297,0.1,18.575,4.7,1152.533333
Dadra & Nagar Haveli,190,0,11.375,4.633333333,530.9,383,0,22.95,10.1,1136.533333
Daman & Diu,131,0,10.025,3.133333333,622.4,285,0,21.875,7.066666667,1416.9
Delhi,6468,1.125,7.7,1.8,643.6,30299,1.55,36.225,8.9,3074.333333
Lakshadweep,1,0,0.3,0.2,15.93333333,5,0,1.575,0.966666667,62.76666667
Puducherry,863,0.175,13.025,2.566666667,677.9,6402,0.35,96.75,19.2,5020.166667
Total,584502,100,11.6,6.966666667,316.8,1959352,100,38.85,23.73333333,1080.633333
